女神,武器类型,注册名,显示名(中文),Tier,总伤害,攻速,耐久上限,备注
原始之初(开发者),原始刺剑,prototype_rapier_tier1,原始刺剑 I,1,7,2.0,1561,铁剑级别以上(铁剑6伤害)
原始之初(开发者),原始刺剑,prototype_rapier_tier2,原始刺剑 II,2,8,2.0,1561,钻石剑级别以上(钻石剑7伤害)
原始之初(开发者),原始刺剑,prototype_rapier_tier3,原始刺剑 III,3,12,1.9,1561,前阶 1.5 倍伤害
原始之初(开发者),原始刺剑,prototype_rapier_tier4,原始刺剑 IV,4,18,1.9,1561,前阶 1.5 倍伤害
原始之初(开发者),原始刺剑,prototype_rapier_tier5,原始刺剑 V,5,27,1.8,1561,前阶 1.5 倍伤害
原始之初(开发者),原始刺剑,prototype_rapier_tier6,原始刺剑 VI,6,54,1.8,1561,最终武器(前阶 2 倍伤害)
绀紫之心(涅普顿),绀紫太刀,neptune_sword_tier1,绀紫太刀 I,1,7,1.8,1561,铁剑级别以上(铁剑6伤害)
绀紫之心(涅普顿),绀紫太刀,neptune_sword_tier2,绀紫太刀 II,2,8,1.8,1561,钻石剑级别以上(钻石剑7伤害)
绀紫之心(涅普顿),绀紫太刀,neptune_sword_tier3,绀紫太刀 III,3,12,1.7,1561,前阶 1.5 倍伤害
绀紫之心(涅普顿),绀紫太刀,neptune_sword_tier4,绀紫太刀 IV,4,18,1.7,1561,前阶 1.5 倍伤害
绀紫之心(涅普顿),绀紫太刀,neptune_sword_tier5,绀紫太刀 V,5,27,1.6,1561,前阶 1.5 倍伤害
绀紫之心(涅普顿),绀紫太刀,neptune_sword_tier6,绀紫太刀 VI,6,54,1.6,1561,最终武器(前阶 2 倍伤害)
圣黑之心(诺瓦露),圣黑长剑,noire_sword_tier1,圣黑长剑 I,1,7,1.6,1561,铁剑级别以上(铁剑6伤害)
圣黑之心(诺瓦露),圣黑长剑,noire_sword_tier2,圣黑长剑 II,2,8,1.6,1561,钻石剑级别以上(钻石剑7伤害)
圣黑之心(诺瓦露),圣黑长剑,noire_sword_tier3,圣黑长剑 III,3,12,1.5,1561,前阶 1.5 倍伤害
圣黑之心(诺瓦露),圣黑长剑,noire_sword_tier4,圣黑长剑 IV,4,18,1.5,1561,前阶 1.5 倍伤害
圣黑之心(诺瓦露),圣黑长剑,noire_sword_tier5,圣黑长剑 V,5,27,1.4,1561,前阶 1.5 倍伤害
圣黑之心(诺瓦露),圣黑长剑,noire_sword_tier6,圣黑长剑 VI,6,54,1.4,1561,最终武器(前阶 2 倍伤害)
群白之心(布兰),群白战锤,blanc_hammer_tier1,群白战锤 I,1,7,1.2,1561,铁剑级别以上(铁剑6伤害)
群白之心(布兰),群白战锤,blanc_hammer_tier2,群白战锤 II,2,8,1.2,1561,钻石剑级别以上(钻石剑7伤害)
群白之心(布兰),群白战锤,blanc_hammer_tier3,群白战锤 III,3,12,1.1,1561,前阶 1.5 倍伤害
群白之心(布兰),群白战锤,blanc_hammer_tier4,群白战锤 IV,4,18,1.1,1561,前阶 1.5 倍伤害
群白之心(布兰),群白战锤,blanc_hammer_tier5,群白战锤 V,5,27,1.0,1561,前阶 1.5 倍伤害
群白之心(布兰),群白战锤,blanc_hammer_tier6,群白战锤 VI,6,54,1.0,1561,最终武器(前阶 2 倍伤害)
翡绿之心(贝露),翡绿长枪,vert_spear_tier1,翡绿长枪 I,1,7,1.4,1561,铁剑级别以上(铁剑6伤害)
翡绿之心(贝露),翡绿长枪,vert_spear_tier2,翡绿长枪 II,2,8,1.4,1561,钻石剑级别以上(钻石剑7伤害)
翡绿之心(贝露),翡绿长枪,vert_spear_tier3,翡绿长枪 III,3,12,1.3,1561,前阶 1.5 倍伤害
翡绿之心(贝露),翡绿长枪,vert_spear_tier4,翡绿长枪 IV,4,18,1.3,1561,前阶 1.5 倍伤害
翡绿之心(贝露),翡绿长枪,vert_spear_tier5,翡绿长枪 V,5,27,1.2,1561,前阶 1.5 倍伤害
翡绿之心(贝露),翡绿长枪,vert_spear_tier6,翡绿长枪 VI,6,54,1.2,1561,最终武器(前阶 2 倍伤害)
绀紫妹妹,绀紫妹妹光剑,nepgear_sword_tier1,绀紫妹妹光剑 I,1,7,1.8,1561,光剑近战
绀紫妹妹,绀紫妹妹光剑,nepgear_sword_tier2,绀紫妹妹光剑 II,2,8,1.8,1561,光剑近战
绀紫妹妹,绀紫妹妹光剑,nepgear_sword_tier3,绀紫妹妹光剑 III,3,12,1.7,1561,光剑近战
绀紫妹妹,绀紫妹妹光剑,nepgear_sword_tier4,绀紫妹妹光剑 IV,4,18,1.7,1561,光剑近战
绀紫妹妹,绀紫妹妹光剑,nepgear_sword_tier5,绀紫妹妹光剑 V,5,27,1.6,1561,光剑近战
绀紫妹妹,绀紫妹妹光剑,nepgear_sword_tier6,绀紫妹妹光剑 VI,6,54,1.6,1561,光剑近战
圣黑妹妹,圣黑妹妹步枪,uni_rifle_tier1,圣黑妹妹步枪 I,1,5,2.0,1561,远程单发基础伤害；近战伤害1；射速按tick取整
圣黑妹妹,圣黑妹妹步枪,uni_rifle_tier2,圣黑妹妹步枪 II,2,6,2.0,1561,远程单发基础伤害；近战伤害1；射速按tick取整
圣黑妹妹,圣黑妹妹步枪,uni_rifle_tier3,圣黑妹妹步枪 III,3,9,1.9,1561,远程单发基础伤害；近战伤害1；射速按tick取整
圣黑妹妹,圣黑妹妹步枪,uni_rifle_tier4,圣黑妹妹步枪 IV,4,13,1.9,1561,远程单发基础伤害；近战伤害1；射速按tick取整
圣黑妹妹,圣黑妹妹步枪,uni_rifle_tier5,圣黑妹妹步枪 V,5,20,1.8,1561,远程单发基础伤害；近战伤害1；射速按tick取整
圣黑妹妹,圣黑妹妹步枪,uni_rifle_tier6,圣黑妹妹步枪 VI,6,40,1.8,1561,远程单发基础伤害；近战伤害1；射速按tick取整
群白妹妹·罗姆,罗姆冰魔法杖,rom_staff_tier1,罗姆冰魔法杖 I,1,5,1.2,1561,远程单发基础伤害；近战伤害1；射速按tick取整
群白妹妹·罗姆,罗姆冰魔法杖,rom_staff_tier2,罗姆冰魔法杖 II,2,6,1.2,1561,远程单发基础伤害；近战伤害1；射速按tick取整
群白妹妹·罗姆,罗姆冰魔法杖,rom_staff_tier3,罗姆冰魔法杖 III,3,9,1.1,1561,远程单发基础伤害；近战伤害1；射速按tick取整
群白妹妹·罗姆,罗姆冰魔法杖,rom_staff_tier4,罗姆冰魔法杖 IV,4,13,1.1,1561,远程单发基础伤害；近战伤害1；射速按tick取整
群白妹妹·罗姆,罗姆冰魔法杖,rom_staff_tier5,罗姆冰魔法杖 V,5,20,1.0,1561,远程单发基础伤害；近战伤害1；射速按tick取整
群白妹妹·罗姆,罗姆冰魔法杖,rom_staff_tier6,罗姆冰魔法杖 VI,6,40,1.0,1561,远程单发基础伤害；近战伤害1；射速按tick取整
群白妹妹·拉姆,拉姆冰魔法杖,ram_staff_tier1,拉姆冰魔法杖 I,1,5,1.2,1561,远程单发基础伤害；近战伤害1；射速按tick取整
群白妹妹·拉姆,拉姆冰魔法杖,ram_staff_tier2,拉姆冰魔法杖 II,2,6,1.2,1561,远程单发基础伤害；近战伤害1；射速按tick取整
群白妹妹·拉姆,拉姆冰魔法杖,ram_staff_tier3,拉姆冰魔法杖 III,3,9,1.1,1561,远程单发基础伤害；近战伤害1；射速按tick取整
群白妹妹·拉姆,拉姆冰魔法杖,ram_staff_tier4,拉姆冰魔法杖 IV,4,13,1.1,1561,远程单发基础伤害；近战伤害1；射速按tick取整
群白妹妹·拉姆,拉姆冰魔法杖,ram_staff_tier5,拉姆冰魔法杖 V,5,20,1.0,1561,远程单发基础伤害；近战伤害1；射速按tick取整
群白妹妹·拉姆,拉姆冰魔法杖,ram_staff_tier6,拉姆冰魔法杖 VI,6,40,1.0,1561,远程单发基础伤害；近战伤害1；射速按tick取整
